article_id,expr_type,value,char_offset
878.txt,interval," Thursday,",558
878.txt,interval, each year,637
878.txt,interval, three years,726
878.txt,interval," Sunday,",891
878.txt,interval," Monday,",1383
878.txt,interval, Monday.,1862
878.txt,interval, this year,2536
878.txt,interval, one day,2782
878.txt,weekday,next Monday,1858
878.txt,number of years,each year ,638
878.txt,number of years,three years.,727
878.txt,number of years,this year ,2537
878.txt,month,May,869
491.txt,interval, Friday.,296
491.txt,interval, Wednesday.,462
491.txt,interval, Friday.,1433
1373.txt,month,May,1620
498.txt,interval, third week.,126
498.txt,interval, three days,876
498.txt,interval, the week,1022
882.txt,interval, Today,1033
882.txt,interval, first day,1517
882.txt,interval, New Year.,1686
882.txt,interval," Thursday,",2418
882.txt,month,September,2201
1604.txt,interval," you today,",1178
1604.txt,interval, last month.,1934
1604.txt,month,December,916
1436.txt,interval, second year,414
1436.txt,interval, this year,979
1436.txt,number of years,second year ,415
1436.txt,year, 2004,944
152.txt,interval, last year,551
152.txt,interval," this year,",631
152.txt,number of years,last year ,552
152.txt,year, 1990s,692
152.txt,year, 1991,1066
152.txt,month,October,318
509.txt,year, 2002,490
509.txt,month,February,394
509.txt,month,May,1012
1198.txt,interval," Sunday,",132
1198.txt,interval, Saturday.,317
1572.txt,interval, this year,1957
1572.txt,interval, this year.,2204
1572.txt,interval," every day,",3185
1572.txt,interval, a year.,3219
1572.txt,interval, 12 months,3550
1572.txt,interval, this year,3674
1572.txt,year, 2005,366
1572.txt,year, 2005,485
1572.txt,month,January,562
1572.txt,month,February,3753
1607.txt,interval, launch day,278
1607.txt,month,November,307
1607.txt,month,December,353
741.txt,interval, Monday.,800
741.txt,interval, country today.,1565
741.txt,interval, Monday.,1693
741.txt,interval, his year,1880
741.txt,year, 1997,3253
741.txt,year, 1906,3298
92.txt,interval, three years,616
92.txt,interval, four years,764
92.txt,interval, 24 years,1097
92.txt,interval, a year,1228
92.txt,interval, a year,1761
92.txt,number of years,three years.,617
92.txt,number of years,"four years,",765
92.txt,number of years,24 years.,1098
92.txt,number of years,a year ,1229
92.txt,number of years,a year ,1762
92.txt,year, 2005,263
92.txt,year, 2005,885
92.txt,year, 2006,902
92.txt,year, 2004,955
92.txt,year, 2008,1031
92.txt,year, 2000,1808
1095.txt,interval, the season.,123
1095.txt,interval, Friday.,926
1095.txt,interval, few years,1128
1095.txt,number of years,few years.,1129
1164.txt,interval,"
Saturday,",47
1164.txt,interval, last year,146
1164.txt,interval, 80 minutes,815
1164.txt,interval," a year,",1322
1164.txt,number of years,last year ,147
1164.txt,dd months yyyy,"26 February

1400",58
128.txt,interval, last year.,1390
128.txt,interval, last year,2148
128.txt,interval, this month,2255
128.txt,number of years,last year ,2149
128.txt,year, 2002,2048
1536.txt,interval, of months,2718
1536.txt,interval, coming year.,3813
516.txt,interval, first week.,741
516.txt,interval, the year,791
516.txt,interval, the year.,814
516.txt,Season, Spring,326
516.txt,number of years,the year ,792
516.txt,dd months yyyy, January 1985,635
516.txt,dd months yyyy,7 March 1985,698
1407.txt,interval, six years,685
1407.txt,interval, last year,1564
1407.txt,interval, last year,1683
1407.txt,number of years,six years ,686
1407.txt,number of years,last year ,1684
1407.txt,month,January,269
45.txt,interval, three days,986
45.txt,interval, a day.,2054
45.txt,month,January,548
45.txt,month,January,978
45.txt,month,November,1848
1675.txt,interval, for today,1267
1675.txt,year, 2005,2384
1626.txt,interval, few weeks,200
1626.txt,interval," this week,",859
172.txt,interval, three months,239
172.txt,interval, a season,268
172.txt,interval," full year,",431
172.txt,interval," Friday,",871
172.txt,interval, New Year.,1138
172.txt,year, 2004,83
172.txt,year,early 2002,390
172.txt,year, 2005,760
172.txt,month,December,256
172.txt,month,December,911
172.txt,month,January,1186
225.txt,interval, the year,334
225.txt,interval, a year,372
225.txt,interval, 12 months,549
225.txt,interval, a year,707
225.txt,interval, the year,763
225.txt,interval, the year,862
225.txt,interval, coming year,969
225.txt,number of years,the year ,335
225.txt,number of years,a year ,373
225.txt,number of years,a year ,708
225.txt,number of years,the year ,764
225.txt,number of years,the year ,863
225.txt,number of years,coming year ,970
225.txt,year, 2004,76
225.txt,year, 2003,244
225.txt,year, 2004,263
225.txt,year, 2004,429
225.txt,year, 2003,660
225.txt,year, 2005,1261
225.txt,month,December,566
225.txt,month,January,883
1054.txt,interval, five months,336
1054.txt,interval, a month.,1623
1054.txt,interval," Thursday,",1708
1054.txt,year, 2000,852
1054.txt,month,August,1062
1054.txt,month,August,1380
1054.txt,month,February,1828
971.txt,interval, after days,243
277.txt,interval, recent weeks,1506
277.txt,interval, next year.,1719
277.txt,month,October,523
502.txt,year, 2004,20
502.txt,year, 2004,169
502.txt,month,July,541
502.txt,month,February,1716
1765.txt,interval, action day,14
1765.txt,interval,"
The month",144
1765.txt,interval, Arash Day,280
1765.txt,interval, this day,516
1765.txt,interval, Arash Day,776
1765.txt,interval, Arash Day,1114
1765.txt,interval, a month,2030
1765.txt,interval, them tomorrow,3359
1765.txt,interval, five months,3524
1765.txt,interval, in minutes,3752
1765.txt,month,February,247
1098.txt,interval, last year.,568
1098.txt,interval, the day,1135
1098.txt,interval, few days,1163
1098.txt,month,May,1153
1565.txt,interval, Saturday.,109
1565.txt,interval, few weeks,237
1565.txt,interval, two days,1702
1565.txt,interval, few months,1911
1565.txt,interval, this month,1968
1565.txt,month,March,1557
1565.txt,month,March,1864
425.txt,interval, the years,1119
425.txt,interval, Sunday.,1385
425.txt,number of years,the years ,1120
556.txt,interval, last year,238
556.txt,interval, trade week,320
556.txt,interval, last year.,504
556.txt,interval,"
Last year",516
556.txt,interval, good year,1675
556.txt,number of years,last year ,239
556.txt,number of years,Last year ,517
556.txt,number of years,good year ,1676
556.txt,year, 2004,93
556.txt,year, 2003,297
556.txt,year, 2003,493
556.txt,year, 2004,1463
556.txt,year, 2003,1650
556.txt,year, 2003,1852
556.txt,year, 2004,1987
556.txt,year, 2005,2262
556.txt,month,September,2298
556.txt,month,July,2508
1220.txt,interval, of days,1460
1220.txt,interval, few days,1596
1220.txt,interval, 70 days,1616
1220.txt,interval, 21 days,1707
1220.txt,interval, 91 days,1774
1220.txt,month,July,1809
6.txt,interval, five hours,540
6.txt,interval, this month,954
6.txt,interval, several months,1313
6.txt,year, 2003,354
6.txt,month,January,597
6.txt,month,September,1415
317.txt,interval, three months,80
317.txt,interval, three month,239
317.txt,interval, two years,359
317.txt,interval, previous years,1426
317.txt,interval, a year.,1567
317.txt,number of years,two years.,360
317.txt,number of years,previous years.,1427
317.txt,year, 2004,96
317.txt,year, 2004,1689
317.txt,year, 2005,1909
829.txt,interval, every year,207
829.txt,interval, every year.,734
829.txt,interval, every year,1009
829.txt,number of years,every year ,208
829.txt,number of years,every year ,1010
790.txt,interval, Wednesday.,599
790.txt,interval, Friday.,1375
790.txt,interval, 50 years,1834
790.txt,number of years,50 years.,1835
836.txt,interval, Monday.,501
836.txt,interval, next week.,979
836.txt,interval, the day,1430
836.txt,weekday,next Monday,497
946.txt,numbers-time-deictic,six years ago,396
946.txt,interval, past year.,256
946.txt,interval, six years,395
946.txt,interval, 62 months,645
946.txt,interval, three months,697
946.txt,interval, This year,1383
946.txt,interval, last year,1433
946.txt,interval, 12 months,1906
1380.txt,interval, the day,326
1380.txt,interval, other day,1843
1380.txt,year, 2005,785
1737.txt,interval, six months,173
1737.txt,interval, three years,856
1737.txt,number of years,three years.,857
156.txt,interval, six months,1536
156.txt,immediate time,immediately,624
156.txt,year, 2005,74
156.txt,year, 2006,276
156.txt,year, 2005,1198
156.txt,month,January,795
156.txt,month,December,908
156.txt,month,December,1451
1233.txt,interval, last year,370
1233.txt,interval, last year,845
1233.txt,interval, the years,1025
1233.txt,interval, last year,1121
1233.txt,number of years,last year ,371
1233.txt,number of years,the years.,1026
1233.txt,number of years,last year ,1122
1233.txt,year, 2003,1216
1233.txt,month,January,782
407.txt,interval, this week,93
407.txt,interval, the week.,444
407.txt,interval," last year,",600
407.txt,interval," Thursday,",775
407.txt,interval, Tuesday.,1133
407.txt,year, 2004,230
408.txt,interval, the day,413
408.txt,interval," Wednesday,",922
408.txt,interval, six years,1222
408.txt,number of years,six years.,1223
408.txt,year, 2001,742
408.txt,year, 1999,869
408.txt,year, 1986,1541
408.txt,month,November,1459
1622.txt,interval, per minute,375
1622.txt,interval, alternative month,410
1622.txt,interval, or year,430
1622.txt,interval, few months,1124
1622.txt,interval, per month,1388
1622.txt,interval, a month,1584
1622.txt,interval, three years,2062
1622.txt,interval, next month,2328
1622.txt,interval, per month,2506
1622.txt,interval, per year.,2523
1622.txt,number of years,three years ,2063
1229.txt,interval, last season,644
1421.txt,interval, Sunday.,138
1421.txt,interval, Saturday.,889
1421.txt,interval, this season,1329
1421.txt,interval, two years,1453
1421.txt,interval, last year.,1621
1421.txt,interval, last week,1962
1421.txt,interval, this week.,2039
1421.txt,interval, last year.,2484
1421.txt,deictic1,last Saturday,885
1421.txt,number of years,two years ,1454
1343.txt,interval, Sportsweek,246
1343.txt,interval, New Year,767
1343.txt,interval, 24 years,1281
1343.txt,interval,Every season,1439
1343.txt,interval, last season,1498
1343.txt,number of years,24 years ,1282
1343.txt,year, 2000,998
1343.txt,year, 1998,1709
1343.txt,month,August,632
1346.txt,interval, next week,81
1346.txt,interval," next week,",374
593.txt,interval, the year,82
593.txt,interval, this year,122
593.txt,interval, this year.,284
593.txt,number of years,the year ,83
593.txt,number of years,This year ,448
593.txt,month,June,405
593.txt,month,August,736
593.txt,month,October,996
593.txt,month,April,1172
140.txt,interval," Tuesday,",72
140.txt,interval," holiday,",431
140.txt,interval, few days,579
140.txt,interval, than year,996
140.txt,interval, last week,1030
140.txt,month,February,352
140.txt,month,October,939
1235.txt,numbers-time-deictic,two years ago,2002
1235.txt,interval, for years,1253
1235.txt,interval, this day.,1341
1235.txt,interval, lived today.,1501
1235.txt,interval, 18 years,1871
1235.txt,interval, 187 days,1884
1235.txt,interval, two years,2001
1235.txt,interval, this week,2148
1235.txt,immediate time,immediately,1610
1235.txt,number of years,"for years,",1254
1235.txt,number of years,18 years ,1872
1235.txt,year, 2000,545
1235.txt,year, 1998,1118
1235.txt,year, 2000,1294
1235.txt,year, 2002,2082
548.txt,interval," next year,",855
548.txt,year, 2005,814
548.txt,month,July,265
467.txt,interval, 24 hours,113
467.txt,interval," Tuesday,",324
467.txt,interval, the day,793
467.txt,interval, sixth year,1092
467.txt,interval, 13 years,1355
467.txt,number of years,sixth year ,1093
467.txt,number of years,13 years.,1356
467.txt,dd months yyyy, June 2003,673
467.txt,month,July,151
467.txt,month,December,376
467.txt,month,July,829
967.txt,interval, a week,103
967.txt,interval, 24 hours,746
967.txt,interval, 24 hours,846
967.txt,interval," next month,",1575
967.txt,interval,closing hours,1705
967.txt,interval, opening hours,2725
1489.txt,interval, this year,353
1489.txt,interval, this week,613
1489.txt,interval, nowadays,2025
1489.txt,year, 2004,448
653.txt,interval, spent years,930
653.txt,interval, Wednesday.,1690
653.txt,number of years,spent years ,931
653.txt,year, 2001,889
653.txt,year, 1999,1528
653.txt,month,February,1966
1520.txt,interval, the day,485
1520.txt,interval, a week,618
1520.txt,interval, five days,972
1520.txt,interval, Wednesday.,1135
1520.txt,interval, the year.,2749
1520.txt,interval, this month,2840
1520.txt,dd months yyyy, April 2004,2655
526.txt,numbers-time-deictic,three years later,583
526.txt,interval, three years,582
526.txt,interval, The year,784
526.txt,number of years,The year ,785
526.txt,year, 1955,100
526.txt,year, 1940s,329
526.txt,year, 1948,380
526.txt,year, 1987,553
526.txt,year, 1990,662
947.txt,interval, four years,319
947.txt,interval, Today,1247
947.txt,interval, Tuesday.,2040
947.txt,number of years,four years.,320
947.txt,year, 1925,1785
383.txt,interval, Within days,984
383.txt,interval,Today,1461
383.txt,interval, recent months,2124
383.txt,year, 1990s,1244
383.txt,month,December,423
383.txt,month,December,602
1770.txt,interval, recent years,120
1770.txt,interval, the year,541
1770.txt,number of years,"recent years,",121
1770.txt,number of years,the year ,542
1770.txt,year, 1992,3789
1770.txt,year, 2004,5044
126.txt,interval, taken day,81
126.txt,interval, many years,405
126.txt,interval," last year,",458
126.txt,interval, six years,553
126.txt,interval," last year,",1064
126.txt,interval," Last year,",1558
126.txt,interval," this week,",1854
126.txt,interval, last year,2085
126.txt,interval," this week,",2264
126.txt,number of years,many years.,406
126.txt,number of years,six years ,554
126.txt,number of years,last year ,2086
126.txt,dd months yyyy, November 2003,1978
126.txt,year, 2004,392
126.txt,year, 2005,618
126.txt,year, 2006,626
126.txt,year, 2006,1006
126.txt,year, 2007,1014
126.txt,year, 2004,1802
126.txt,year, 2005,1838
126.txt,month,March,178
126.txt,month,March,287
126.txt,month,March,1025
126.txt,month,March,1434
1254.txt,interval, afternoon.,170
1254.txt,interval, last month,459
866.txt,interval, last week.,247
866.txt,interval, new year,482
866.txt,interval, first day,1649
866.txt,interval," same day,",1753
866.txt,interval, New Year.,1841
866.txt,interval, last week.,2130
866.txt,deictic1,last Thursday,1678
866.txt,number of years,new year ,483
866.txt,month,September,2930
891.txt,interval, Monday.,1445
602.txt,interval, four years,105
602.txt,number of years,four years ,16
602.txt,number of years,four years ,106
602.txt,year, 2001,1051
602.txt,month,December,831
602.txt,month,December,1370
804.txt,interval, a week,101
804.txt,interval," Tuesday,",794
804.txt,interval, this week,939
804.txt,interval," Tuesday,",1749
804.txt,dd months yyyy, November 2003,1939
804.txt,dd months yyyy, June 2004,2116
804.txt,year, 2005,90
69.txt,interval, three months,1172
69.txt,interval, a year,1268
69.txt,immediate time,immediately,965
69.txt,number of years,a year ,1269
69.txt,dd months yyyy, February 2005,656
69.txt,month,August,234
69.txt,month,September,1196
1759.txt,interval, few years,655
1759.txt,interval, this day.,759
1759.txt,interval, three weeks,1496
1759.txt,number of years,few years ,656
1759.txt,year, 1980s,478
1759.txt,year, 1982,589
1759.txt,year, 1990s,806
1759.txt,year, 1994,861
1759.txt,year,late 1980s,918
1759.txt,year, 1980s,1284
557.txt,interval," next month,",113
557.txt,interval, Green Day,240
557.txt,interval, This year,393
557.txt,interval, Last week,585
557.txt,interval, this year,979
557.txt,interval," this year,",1040
557.txt,interval, four years,1067
557.txt,number of years,This year ,394
557.txt,number of years,four years.,1068
557.txt,month,February,270
557.txt,month,November,812
1239.txt,interval, the season.,721
1239.txt,interval, this year,755
1239.txt,interval, next year,787
1239.txt,number of years,this year ,756
1239.txt,number of years,next year ,788
410.txt,interval, consecutive days,579
410.txt,interval, Christmas Day,726
410.txt,dd months yyyy,12 February 2005,1322
410.txt,month,January,478
410.txt,month,December,623
410.txt,month,February,1593
989.txt,interval,"
For years",505
989.txt,interval, following year,803
989.txt,interval, two year,873
989.txt,number of years,For years ,506
989.txt,number of years,following year ,804
989.txt,number of years,two year ,874
989.txt,year, 2006,65
989.txt,year, 1917,323
989.txt,year, 1998,726
989.txt,year, 2002,793
989.txt,month,February,428
863.txt,interval, Monday.,275
863.txt,interval, next week.,630
863.txt,interval, four months,1649
863.txt,interval," last week,",2494
863.txt,month,October,883
1522.txt,interval, three weeks,3460
1522.txt,interval, 12 years,5564
1522.txt,interval, market today,6991
1522.txt,number of years,12 years ,5565
1522.txt,year, 1991,141
1522.txt,year, 1956,405
1522.txt,year, 1731,1017
1522.txt,year, 1761,1067
1522.txt,year, 1900,1122
1522.txt,year, 1983,1590
1522.txt,year, 1891,1779
1522.txt,year, 1980s,2073
1522.txt,year,early 1980s,3366
1522.txt,year, 1980,4234
472.txt,interval," Last year,",290
472.txt,interval, this year,566
472.txt,interval,"
Three years",641
472.txt,interval," last year,",1199
472.txt,interval, last year,1810
472.txt,interval, this year,1963
472.txt,number of years,this year ,567
472.txt,number of years,Three years ,642
472.txt,number of years,last year ,1811
472.txt,month,September,719
793.txt,interval, 33 months,86
793.txt,interval, three weeks,1346
793.txt,interval, last month,2067
793.txt,interval, more years,2253
793.txt,interval, three years,2568
793.txt,number of years,more years.,2254
793.txt,number of years,three years ,2569
793.txt,dd months yyyy, March 2002,782
793.txt,month,January,641
793.txt,month,March,2191
943.txt,interval, this week,173
943.txt,interval, this week,1638
943.txt,interval, few years,2225
943.txt,number of years,few years ,2226
943.txt,year, 1997,2332
936.txt,interval,"
For years",497
936.txt,interval, following year,795
936.txt,interval, two year,865
936.txt,number of years,For years ,498
936.txt,number of years,following year ,796
936.txt,number of years,two year ,866
936.txt,year, 2006,57
936.txt,year, 1917,315
936.txt,year, 1998,718
936.txt,year, 2002,785
936.txt,month,February,420
1650.txt,interval, three months,503
1650.txt,interval, of years,1294
1650.txt,interval, for years,2913
1650.txt,number of years,of years ,1295
1650.txt,number of years,for years.,2914
1650.txt,dd months yyyy, September 2004,519
1650.txt,dd months yyyy, September 2005,2977
1650.txt,dd months yyyy, March 2006,2996
1650.txt,year, 2007,2676
1650.txt,year, 2005,3429
382.txt,interval, in month,554
382.txt,interval, on month,563
382.txt,interval," on month,",811
382.txt,interval, a year,847
382.txt,interval, this month,1044
382.txt,interval, a year.,1077
382.txt,interval, recent years,1715
382.txt,interval, afternoon,1810
382.txt,number of years,a year ,848
382.txt,number of years,recent years.,1716
382.txt,year, 2004,1183
382.txt,year, 1990s,1250
382.txt,month,October,69
382.txt,month,October,204
382.txt,month,September,1131
382.txt,month,November,1481
382.txt,month,October,1589
406.txt,numbers-time-deictic,two years ago,212
406.txt,interval, two years,211
406.txt,interval, three years,355
406.txt,year, 2002,684
406.txt,year, 1997,1135
406.txt,year, 2002,1144
406.txt,year, 2001,1252
303.txt,interval," last week,",233
303.txt,interval," this month,",964
303.txt,interval, Monday.,1373
303.txt,interval, last year,1555
303.txt,interval," the year,",2599
303.txt,dd months yyyy, June 2004,1662
1088.txt,interval, the season,642
1088.txt,month,February,18
1088.txt,month,February,143
1088.txt,month,February,208
1088.txt,month,February,385
1088.txt,month,October,441
1088.txt,month,February,816
1088.txt,month,October,874
388.txt,interval, last year.,427
388.txt,interval, Four Seasons,634
388.txt,year, 2006,842
1372.txt,interval, last week,221
1372.txt,interval," this week,",840
1372.txt,interval, Wednesday.,899
1372.txt,month,March,151
1372.txt,month,February,311
1372.txt,month,December,792
149.txt,interval, the month,377
149.txt,interval, the year,492
149.txt,interval, coming months,625
149.txt,interval, last week,1039
149.txt,interval, first month,1103
149.txt,interval, the year.,1259
149.txt,interval, recent years,1368
149.txt,interval, the month,1402
149.txt,interval, previous month.,2306
149.txt,number of years,the year ,493
149.txt,number of years,recent years.,1369
149.txt,year, 2005,361
149.txt,year, 2004,1214
149.txt,year, 2005,1317
149.txt,year, 2003,1609
149.txt,month,November,23
149.txt,month,November,68
149.txt,month,October,206
149.txt,month,November,505
149.txt,month,December,1089
149.txt,month,September,1129
149.txt,month,November,1433
149.txt,month,October,1533
149.txt,month,November,1545
149.txt,month,November,1819
149.txt,month,November,2278
714.txt,interval, several months,1832
714.txt,year, 1999,2649
1399.txt,interval, recent weeks,1350
357.txt,interval, first day,116
357.txt,interval," Monday,",196
357.txt,interval, the day.,271
357.txt,interval, last month.,1222
1090.txt,numbers-time-deictic,three years ago,1413
1090.txt,interval, next month,92
1090.txt,interval, 24 hours,697
1090.txt,interval, last week,813
1090.txt,interval, Tuesday.,1223
1090.txt,interval, three years,1412
1090.txt,interval, indoor season,2160
1090.txt,year, 1500,83
1090.txt,year, 1500,600
1090.txt,year, 2008,2282
1090.txt,month,March,746
1090.txt,month,May,2844
1132.txt,numbers-time-deictic,two years ago,2928
1132.txt,interval, next week,115
1132.txt,interval," last year,",614
1132.txt,interval, the year,739
1132.txt,interval, last year,1702
1132.txt,interval, last year.,2387
1132.txt,interval, Thursday.,2844
1132.txt,interval, two years,2927
1132.txt,year, 2004,1165
1132.txt,year, 1976,2170
1132.txt,year, 2002,2525
1132.txt,year, 2000,2778
1132.txt,year, 2003,3050
1132.txt,year, 1999,3153
1070.txt,interval, seven days,1316
1070.txt,interval, the years,1448
1070.txt,interval," one minute,",1820
1070.txt,interval, useful week,2265
1070.txt,interval, this year.,3008
1070.txt,interval, this season,3260
1070.txt,interval, a season,3663
1070.txt,interval, seven minutes,4503
1070.txt,interval, 11 years,4592
1070.txt,24hr time,1:48,1902
1070.txt,24hr time,2:04,2206
1070.txt,24hr time,4:19,4782
1070.txt,24hr time,3:45,4973
1070.txt,number of years,the years ,1449
1070.txt,number of years,11 years ,4593
1070.txt,year, 1500,4720
537.txt,interval," Tuesday,",222
537.txt,interval, last week.,1311
537.txt,interval, Last week,1376
1394.txt,interval, second week,1540
1394.txt,interval, Last week,2151
1610.txt,numbers-time-deictic,two weeks ago,1363
1610.txt,interval, a year.,217
1610.txt,interval, two weeks,1362
1610.txt,dd months yyyy, May 2004,930
1610.txt,month,May,428
1397.txt,year, 2008,1078
103.txt,interval, this year,82
103.txt,interval," this year,",674
103.txt,interval, next year,707
103.txt,interval," this year,",1564
103.txt,number of years,this year ,83
103.txt,year, 2005,9
103.txt,year, 2004,109
103.txt,year, 2005,351
103.txt,year, 2004,388
103.txt,year, 2004,575
103.txt,year, 2005,953
103.txt,year, 2004,1179
103.txt,year, 2004,1526
103.txt,year, 2007,1723
103.txt,month,January,596
469.txt,interval, 20 years,636
469.txt,interval, three years,1886
469.txt,number of years,"20 years,",637
469.txt,number of years,three years ,1887
469.txt,month,March,1660
315.txt,interval, six months,1015
315.txt,interval, a day.,1376
315.txt,interval," a day,",1706
315.txt,interval," Wednesday,",2079
315.txt,interval, 10 days,2130
315.txt,interval, recent years,2219
315.txt,interval, holidays,3307
315.txt,number of years,"recent years,",2220
1585.txt,interval, several years,3038
1585.txt,number of years,several years ,3039
1306.txt,interval, 10 minutes,124
1306.txt,interval, an hour,441
1306.txt,interval, 10 minutes,713
1306.txt,interval," 87th minute,",2098
782.txt,interval, this week.,455
782.txt,interval, last minute.,788
782.txt,interval, next month,2288
782.txt,month,March,406
782.txt,month,January,1016
212.txt,interval, Monday.,476
212.txt,year, 1875,653
212.txt,year, 2008,809
212.txt,year, 2006,1154
260.txt,interval, extra year,67
260.txt,interval, this year.,817
260.txt,interval, few months,843
260.txt,interval," Wednesday,",1241
260.txt,interval, Today,1421
260.txt,number of years,extra year ,68
260.txt,dd months yyyy,15 July 2006,273
260.txt,year, 2005,1878
1342.txt,numbers-time-deictic,four years ago,359
1342.txt,interval, four years,358
1342.txt,year, 2005,139
1342.txt,month,February,729
1532.txt,interval, this week,131
1345.txt,interval, Thursday.,132
1345.txt,interval, many years,1518
1345.txt,interval, this month.,2764
1345.txt,interval, 65 minutes,3414
1345.txt,number of years,"many years,",1519
1345.txt,month,October,646
1345.txt,month,March,2567
1085.txt,interval," last year,",190
1085.txt,month,March,1059
1395.txt,numbers-time-deictic,nine days ago,1608
1395.txt,interval," Wednesday,",401
1395.txt,interval, six weeks,521
1395.txt,interval, 10 days,1051
1395.txt,interval, nine days,1607
1395.txt,year, 1998,818
1395.txt,month,December,685
1362.txt,interval, last year,678
582.txt,interval, 17th year,381
582.txt,interval, previous years,505
582.txt,interval, everyday,1065
582.txt,number of years,17th year ,382
582.txt,number of years,previous years ,506
582.txt,year, 2002,543
582.txt,year,late 1960s,866
582.txt,year, 1980s,918
1761.txt,interval, 18 months,1080
1761.txt,interval, last year.,1288
1761.txt,dd months yyyy, February 2001,392
1761.txt,year, 2002,1429
439.txt,interval, recent years,2101
439.txt,number of years,recent years ,2102
439.txt,year, 1970,203
439.txt,year,late 1960s,1003
439.txt,year, 1970,1118
439.txt,year, 1979,1612
439.txt,year, 1982,1896
439.txt,year, 1985,1960
439.txt,year, 1997,2054
1774.txt,interval, last year,181
1774.txt,interval, last year,577
1774.txt,interval, great year,598
1774.txt,interval, this year,974
1774.txt,interval, Finest Hour,1323
1774.txt,number of years,last year ,182
1774.txt,number of years,last year ,578
1774.txt,number of years,great year ,599
1774.txt,year, 2005,1219
1359.txt,interval, the year,1029
1359.txt,number of years,the year ,1030
1359.txt,year, 2004,1041
1359.txt,year, 2004,1288
1304.txt,interval, this year.,238
736.txt,interval, two years,761
736.txt,interval," Monday,",1378
736.txt,interval, a year,2238
736.txt,number of years,two years ,762
736.txt,number of years,a year ,2239
298.txt,interval, two months,947
298.txt,dd months yyyy, July 2002,312
298.txt,year,late 1990s,662
59.txt,year, 2005,647
1413.txt,interval, Friday.,166
1413.txt,interval, of years,987
1413.txt,interval, next week,1190
1413.txt,number of years,of years ,988
1413.txt,month,January,924
861.txt,interval, within weeks,274
861.txt,interval, three years,949
861.txt,number of years,three years.,950
861.txt,month,December,1821
500.txt,interval, next year.,574
500.txt,year, 1980s,216
500.txt,year, 1985,1296
104.txt,interval, recent months,1387
1591.txt,interval, six years,810
1591.txt,interval, the day,2072
1591.txt,number of years,six years ,811
1625.txt,interval," Last year,",1898
1625.txt,interval, pay month,2770
1625.txt,interval, few years,4704
1625.txt,number of years,"few years,",4705
1625.txt,year, 2048,4292
1221.txt,month,March,2357
266.txt,interval," Thursday,",494
266.txt,interval, few weeks,874
266.txt,interval, recent months,892
266.txt,interval," last year,",952
266.txt,interval, six month,1251
266.txt,year, 2002,679
266.txt,year, 1995,1420
266.txt,year, 1996,1490
266.txt,year, 1955,1900
266.txt,year, 1961,1936
266.txt,month,February,247
266.txt,month,January,328
266.txt,month,October,945
266.txt,month,September,1027
266.txt,month,September,1217
786.txt,interval," Saturday,",982
786.txt,interval," have today,",1988
786.txt,interval, this week,3400
786.txt,interval," Friday,",3637
998.txt,interval,838th day,150
998.txt,interval, 11 years,383
998.txt,interval, a year,604
998.txt,interval, 150 years,913
998.txt,number of years,11 years ,384
998.txt,number of years,a year ,605
998.txt,number of years,150 years.,914
998.txt,year, 1960s,243
998.txt,year, 1970s,253
998.txt,year, 2008,406
998.txt,year, 1997,415
998.txt,year, 1812,625
998.txt,year, 2001,759
998.txt,year, 1848,979
998.txt,year, 2001,1045
998.txt,year, 2004,1350
998.txt,year, 1983,1915
998.txt,year, 1992,1924
998.txt,month,May,837
89.txt,interval, Friday.,170
89.txt,interval, last week,246
89.txt,interval," Friday,",450
89.txt,interval, the week,938
89.txt,interval, last week.,1004
89.txt,interval, last week,1217
89.txt,interval, 12 months,1435
89.txt,interval, Saturday.,1532
89.txt,year, 2007,393
89.txt,month,June,702
89.txt,month,March,1022
89.txt,month,June,1454
1246.txt,numbers-time-deictic,two years ago,2042
1246.txt,interval," the day,",524
1246.txt,interval, mesmerising minutes,830
1246.txt,interval, five minutes,1304
1246.txt,interval," given day,",1469
1246.txt,interval, two years,2041
1246.txt,year, 1978,182
1246.txt,year, 1970s,403
1246.txt,year, 2003,2121
1246.txt,year, 1970s,3137
1246.txt,year, 1970s,3793
1022.txt,interval," a year,",1359
1022.txt,month,May,2532
1022.txt,month,May,2892
1022.txt,month,March,2927
862.txt,interval, few weeks,2808
862.txt,month,September,582
862.txt,month,March,2124
1019.txt,interval, a week,302
1019.txt,interval," Sunday,",866
1019.txt,interval, Tuesday.,1922
1019.txt,month,May,882
1019.txt,month,May,947
559.txt,interval, 60 Minutes,164
559.txt,interval, Sunday.,356
559.txt,year, 2002,853
559.txt,year, 1977,915
559.txt,month,May,506
445.txt,interval," last year,",298
445.txt,interval, one year,958
445.txt,number of years,one year ,959
445.txt,year, 1997,829
445.txt,year, 2000,877
445.txt,year, 2003,936
445.txt,year, 2002,977
445.txt,year, 2003,986
445.txt,year, 1997,2252
828.txt,interval, the Day,544
828.txt,interval, the year,746
828.txt,interval," Friday,",2006
828.txt,interval, next year.,2487
828.txt,number of years,the year ,747
828.txt,year, 2005,731
85.txt,interval, three weeks,684
85.txt,interval," Wednesday,",811
85.txt,interval," Wednesday,",1541
85.txt,interval, four years,2186
85.txt,interval," past year,",2516
85.txt,interval, a year.,2771
85.txt,immediate time,immediately,697
85.txt,number of years,"four years,",2187
85.txt,year, 2000,632
85.txt,month,May,1299
